"Sample","Site","Replicate","Genotype","Range","0hr","4hr","24hr"
"W0747","CRG",1,"CRG18","Native",12.5820034584965,12.2139551279766,11.2889489627237
"W0747","CRG",2,"CRG18","Native",12.5724977509826,12.1817631813041,11.1953208680727
"W0747","CRG",3,"CRG18","Native",12.4761280163141,12.2054333937523,11.2834412813911
"W0748","LIS",1,"LIS17","Native",11.8327013522005,12.5666365692745,11.1978317918914
"W0748","LIS",2,"LIS17","Native",11.9030539628653,12.6111204825929,11.1794316772431
"W0748","LIS",3,"LIS17","Native",11.9709470295074,12.6725315298971,11.1920852972381
"W0749","HIG",1,"HIG10-01","Native",11.0188107512539,11.099605216772,11.141130383853
"W0749","HIG",2,"HIG10-01","Native",11.0285207834371,11.1117125883975,11.261554247934
"W0749","HIG",3,"HIG10-01","Native",11.0433441646111,11.1043310732072,11.1851129522916
"W0750","CDC",1,"CDCc2-01","Native",11.9168588198765,10.4246066670811,10.9970494969912
"W0750","CDC",2,"CDCc2-01","Native",11.9537219826865,10.4286235008314,11.0142476042836
"W0750","CDC",3,"CDCc2-01","Native",12.0097938423524,10.4279551480227,10.9916138613134
"W0751","SAN",1,"SAN20-02","Native",11.71866118578,10.89177620424,10.9359631149058
"W0751","SAN",2,"SAN20-02","Native",11.6811779160747,10.899756478249,10.9851656243027
"W0751","SAN",3,"SAN20-02","Native",11.6370415440618,10.8990938825114,10.933125775969
"W0752","CAM",1,"CAM19","Native",12.1927483454939,11.2259270093326,11.9311950329681
"W0752","CAM",2,"CAM19","Native",12.2041041969058,11.2286739382618,11.9650064851151
"W0752","CAM",3,"CAM19","Native",12.2303721086523,11.3253440129091,11.9493699606327
"W0753","DEB",1,"DEB26","Native",11.4462272006789,10.4020093969874,11.32899352809
"W0753","DEB",2,"DEB26","Native",11.398468476008,10.4026659029922,11.3664804484654
"W0753","DEB",3,"DEB26","Native",11.400062342568,10.398061285039,11.3375647838895
